Datetime,Solar_Radiation_W_m2,Wind_Speed_10m_m_s,Temperature_2m_C,Load_kW,Solar_Power_kW,Wind_Power_kW,Net_Power_kW,Total_Generated_Power_kW,Battery_Energy_kWh,Battery_SoC_%,Unmet_Load_kWh,Dumped_Energy_kWh
2023-12-07 14:00:00,112.05,5.33,9.66,0.0,1.1205,0.6492108361375,1.7697108361375,1.7697108361375,19.721000764937497,98.60500382468749,0.0,0.0
2023-12-07 15:00:00,52.92,3.73,8.75,0.0,0.5292,0.22250031413749996,0.7517003141374999,0.7517003141374999,20.0,100.0,0.0,0.4727010790749979
2023-12-07 16:00:00,5.07,2.62,7.31,0.0,0.0507,0.0771095213,0.1278095213,0.1278095213,20.0,100.0,0.0,0.12780952130000145
2023-12-07 17:00:00,0.0,2.53,6.19,0.0,0.0,0.06943296263749998,0.06943296263749998,0.06943296263749998,20.0,100.0,0.0,0.06943296263749943
2023-12-07 18:00:00,0.0,2.41,5.6,5.0,0.0,0.06001437128750001,-4.9399856287125,0.06001437128750001,15.060014371287501,75.3000718564375,0.0,0.0
2023-12-07 19:00:00,0.0,2.25,5.43,5.0,0.0,0.04883730468749999,-4.9511626953125,0.04883730468749999,10.108851675975,50.544258379875,0.0,0.0
2023-12-07 20:00:00,0.0,2.05,5.4,5.0,0.0,0.03693734843749998,-4.9630626515625,0.03693734843749998,5.1457890244125,25.728945122062502,0.0,0.0
2023-12-07 21:00:00,0.0,1.94,5.35,0.0,0.0,0.0313046839,0.0313046839,0.0313046839,5.1770937083125,25.8854685415625,0.0,0.0
2023-12-07 22:00:00,0.0,2.15,5.02,0.0,0.0,0.04261078281249999,0.04261078281249999,0.04261078281249999,5.219704491125,26.098522455625,0.0,0.0
2023-12-07 23:00:00,0.0,2.38,4.64,0.0,0.0,0.057800953699999984,0.057800953699999984,0.057800953699999984,5.2775054448250005,26.387527224125,0.0,0.0
2023-12-08 00:00:00,0.0,2.3,4.37,0.0,0.0,0.052166012499999984,0.052166012499999984,0.052166012499999984,5.329671457325,26.648357286625,0.0,0.0
2023-12-08 01:00:00,0.0,2.51,4.13,0.0,0.0,0.06779931366249997,0.06779931366249997,0.06779931366249997,5.397470770987501,26.987353854937503,0.0,0.0
2023-12-08 02:00:00,0.0,2.23,3.94,0.0,0.0,0.047546518512500004,0.047546518512500004,0.047546518512500004,5.445017289500001,27.2250864475,0.0,0.0
2023-12-08 03:00:00,0.0,1.55,3.8,0.0,0.0,0.0159661140625,0.0159661140625,0.0159661140625,5.4609834035625004,27.304917017812503,0.0,0.0
2023-12-08 04:00:00,0.0,1.63,3.57,0.0,0.0,0.018568077762499993,0.018568077762499993,0.018568077762499993,5.479551481325,27.397757406625,0.0,0.0
2023-12-08 05:00:00,0.0,1.68,3.58,0.0,0.0,0.020329747199999998,0.020329747199999998,0.020329747199999998,5.499881228525,27.499406142625,0.0,0.0
2023-12-08 06:00:00,0.0,1.67,3.66,5.0,0.0,0.019968872612499994,-4.9800311273875,0.019968872612499994,4.0,20.0,3.4801498988625,0.0
2023-12-08 07:00:00,13.8,1.56,3.88,5.0,0.138,0.0162771336,-4.8457228664,0.1542771336,4.0,20.0,4.8457228664,0.0
2023-12-08 08:00:00,49.05,2.12,4.97,5.0,0.4905,0.0408518488,-4.4686481512,0.5313518488,4.0,20.0,4.4686481512,0.0
2023-12-08 09:00:00,83.22,2.44,5.96,0.0,0.8322,0.06228358639999999,0.8944835864,0.8944835864,4.8944835864,24.472417932,0.0,0.0
2023-12-08 10:00:00,97.1,2.17,6.82,0.0,0.971,0.04381101698749999,1.0148110169875,1.0148110169875,5.9092946033875,29.5464730169375,0.0,0.0
2023-12-08 11:00:00,109.62,1.57,7.22,0.0,1.0962,0.016592166237499997,1.1127921662375,1.1127921662375,7.022086769625,35.110433848125,0.0,0.0
2023-12-08 12:00:00,118.8,1.25,7.34,0.0,1.188,0.0083740234375,1.1963740234375,1.1963740234375,8.2184607930625,41.092303965312496,0.0,0.0
2023-12-08 13:00:00,106.65,1.0,7.32,0.0,1.0665,0.0042875,1.0707875,1.0707875,9.2892482930625,46.4462414653125,0.0,0.0
2023-12-08 14:00:00,78.95,1.3,7.24,0.0,0.7895,0.0094196375,0.7989196375,0.7989196375,10.088167930562498,50.4408396528125,0.0,0.0
